运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,链路裕量下界（dB）,区间连续性已认证,记录语义
T029,下降,7022.546897,7041.539626,中继,R007,1.118821,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,交付,7041.539626,7221.539626,中继,R007,1.118821,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,爬升,7221.539626,7237.366901,中继,R007,1.118821,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,巡航,7237.366901,7319.826688,中继,R007,1.12095,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,巡航,7319.826688,7641.419857,直连,,0.19761,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,下降,7641.419857,7750.012586,直连,,23.935643,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,爬升,7903.0,7951.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,巡航,7951.452203,8205.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,下降,8205.943893,8241.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,交付,8241.566537,8421.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,爬升,8421.566537,8451.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,巡航,8451.252074,8705.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T030,下降,8705.743763,8763.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,爬升,7924.0,8003.484355,直连,,26.902755,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,巡航,8003.484355,8262.533298,直连,,0.147137,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,巡航,8262.533298,8355.525226,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,下降,8355.525226,8421.23067,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,交付,8421.23067,8745.23067,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,爬升,8745.23067,8797.795026,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,巡航,8797.795026,8890.786954,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,巡航,8890.786954,9149.835896,直连,,0.147137,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T031,下降,9149.835896,9249.19134,直连,,26.902755,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,爬升,6672.0,6727.176304,直连,,28.686789,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,巡航,6727.176304,7055.053858,直连,,0.041979,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,巡航,7055.053858,7202.598757,中继,R007,2.820064,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,下降,7202.598757,7227.890322,中继,R007,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,交付,7227.890322,7407.890322,中继,R007,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,爬升,7407.890322,7428.966626,中继,R007,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,巡航,7428.966626,7576.511525,中继,R007,2.820064,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,巡航,7576.511525,7904.389079,直连,,0.041979,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T032,下降,7904.389079,7970.600644,直连,,28.686789,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,爬升,7097.0,7152.887252,直连,,28.560415,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,巡航,7152.887252,7386.888204,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,下降,7386.888204,7420.192906,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,交付,7420.192906,7600.192906,直连,,2.975514,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,爬升,7600.192906,7627.946825,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,巡航,7627.946825,7861.947777,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T033,下降,7861.947777,7929.012479,直连,,28.560415,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
